iter	Passed	Remaining
226	328	1118
227	329	1114
228	329	1110
229	330	1106
230	331	1102
231	331	1098
232	332	1095
233	333	1091
234	334	1088
235	335	1084
236	335	1081
237	336	1077
238	337	1073
239	337	1069
240	338	1066
241	339	1062
242	339	1058
243	340	1054
244	341	1050
245	341	1047
246	342	1043
247	342	1039
248	343	1035
249	344	1032
250	344	1029
251	345	1025
252	346	1022
253	346	1018
254	347	1015
255	348	1012
256	349	1009
257	349	1005
258	350	1002
259	350	998
260	351	995
261	352	991
262	352	988
263	353	985
264	353	981
265	354	978
266	355	974
267	355	971
268	356	967
269	356	964
270	357	961
271	357	957
272	358	954
273	359	951
274	359	948
275	360	946
276	361	943
277	362	940
278	362	937
279	363	934
280	364	931
281	364	928
282	365	925
283	365	922
284	366	919
285	367	916
286	367	913
287	368	910
288	368	907
289	369	904
290	370	901
291	370	898
292	371	895
293	371	893
294	372	890
295	373	887
296	373	884
297	374	882
298	375	880
299	375	877
300	376	874
301	377	871
302	377	868
303	378	866
304	378	863
305	379	860
306	379	857
307	380	855
308	381	852
309	381	849
310	382	846
311	382	844
312	383	841
313	384	838
314	384	836
315	385	833
316	385	831
317	386	828
318	387	826
319	387	824
320	388	821
321	389	819
322	389	817
323	390	814
324	391	812
325	391	810
326	392	807
327	392	805
328	393	802
329	394	800
330	394	797
331	395	795
332	395	792
333	396	790
334	396	788
335	397	785
336	398	783
337	398	780
338	399	778
339	399	776
340	400	773
341	401	771
342	401	769
343	402	767
344	403	765
345	403	763
346	404	761
347	405	759
348	405	756
349	406	754
350	406	752
351	407	750
352	408	748
353	408	745
354	409	743
355	409	741
356	410	739
357	411	737
358	411	735
359	412	732
360	412	730
361	413	728
362	414	726
363	414	724
364	415	722
365	415	720
366	416	718
367	417	716
368	418	715
369	418	713
370	419	711
371	420	709
372	420	707
373	421	705
374	421	702
375	422	701
376	423	699
377	423	696
378	424	694
379	424	692
380	425	690
381	425	688
382	426	686
383	427	685
384	427	683
385	428	681
386	429	679
387	429	677
388	430	675
389	431	674
390	431	672
391	432	670
392	433	668
393	433	666
394	434	665
395	434	663
396	435	661
397	436	659
398	436	657
399	437	655
400	437	654
401	438	652
402	439	650
403	439	648
404	440	646
405	440	645
406	441	643
407	442	641
408	442	640
409	443	638
410	444	636
411	444	635
412	445	633
413	446	631
414	446	629
415	447	628
416	448	626
417	448	624
418	449	623
419	449	621
420	450	619
421	451	617
422	451	616
423	452	614
424	452	612
425	453	611
426	454	609
427	454	607
428	455	605
429	455	604
430	456	602
431	457	601
432	458	599
433	458	598
434	459	596
435	460	595
436	460	593
437	461	592
438	462	590
439	462	588
440	463	587
441	463	585
442	464	584
443	465	582
444	465	580
445	466	579
446	466	577
447	467	575
448	468	574
449	468	572
450	469	571
451	469	569
452	470	568
453	471	566
454	471	565
455	472	563
456	473	562
457	473	560
458	474	559
459	475	557
460	475	556
461	476	554
462	476	552
463	477	551
464	477	549
465	478	548
466	479	546
467	479	545
468	480	543
469	480	542
470	481	540
471	482	539
472	482	537
473	483	536
474	484	535
475	485	534
476	486	532
477	486	531
478	487	530
479	487	528
480	488	527
481	489	525
482	489	524
483	490	522
484	490	521
485	491	519
486	492	518
487	492	516
488	493	515
489	493	513
490	494	512
491	494	511
492	495	509
493	496	508
494	496	506
495	497	505
496	498	504
497	499	503
498	499	501
499	500	500
500	501	499
501	501	497
502	502	496
503	502	494
504	503	493
505	504	492
506	504	490
507	505	489
508	505	488
509	506	486
510	507	485
511	507	483
512	508	482
513	508	481
514	509	479
515	509	478
516	510	477
517	511	475
518	512	474
519	512	473
520	513	471
521	514	470
522	514	469
523	515	468
524	515	466
525	516	465
526	517	464
527	517	462
528	518	461
529	519	460
530	519	459
531	520	457
532	520	456
533	521	455
534	522	453
535	522	452
536	523	451
537	523	449
538	524	448
539	525	447
540	526	446
541	526	445
542	527	443
543	528	442
544	528	441
545	529	440
546	530	439
547	530	437
548	531	436
549	531	435
550	532	433
551	533	432
552	533	431
553	534	430
554	534	428
555	535	427
556	535	426
557	536	425
558	537	423
559	538	422
560	538	421
561	539	420
562	540	419
563	540	418
564	541	416
565	541	415
566	542	414
567	543	413
568	543	412
569	544	410
570	544	409
571	545	408
572	546	407
573	546	405
574	547	404
575	547	403
576	548	402
577	549	401
578	549	399
579	550	398
580	551	397
581	551	396
582	552	395
583	553	394
584	554	393
585	554	391
586	555	390
587	556	389
588	556	388
589	557	387
590	558	386
591	559	385
592	559	384
593	560	383
594	561	381
595	561	380
596	562	379
597	563	378
598	564	377
599	564	376
600	565	375
601	566	374
602	566	373
603	567	372
604	568	371
605	569	370
606	570	369
607	570	367
608	571	366
609	572	365
610	572	364
611	573	363
612	574	362
613	574	361
614	575	360
615	576	359
616	576	358
617	577	357
618	578	355
619	579	354
620	579	353
621	580	353
622	581	352
623	582	351
624	583	350
625	583	348
626	584	347
627	585	346
628	585	345
629	586	344
630	587	343
631	587	342
632	588	341
633	589	340
634	589	339
635	590	337
636	591	336
637	591	335
638	592	334
639	593	333
640	594	332
641	594	331
642	595	330
643	596	329
644	596	328
645	597	327
646	598	326
647	598	325
648	599	324
649	600	323
650	600	322
651	601	321
652	602	320
653	602	318
654	603	317
655	604	316
656	604	315
657	605	314
658	607	314
659	607	313
660	608	312
661	609	311
662	610	310
663	611	309
664	611	308
665	612	307
666	613	306
667	613	305
668	614	304
669	615	303
670	615	301
671	616	300
672	617	299
673	617	298
674	618	297
675	618	296
676	619	295
677	620	294
678	620	293
679	621	292
680	622	291
681	622	290
682	623	289
683	624	288
684	624	287
685	625	286
686	625	285
687	626	284
688	627	283
689	627	282
690	628	280
691	628	279
692	629	278
693	630	277
694	630	276
695	631	275
696	631	274
697	632	273
698	632	272
699	633	271
700	634	270
701	634	269
702	635	268
703	636	267
704	636	266
705	637	265
706	637	264
707	638	263
708	638	262
709	639	261
710	640	260
711	640	259
712	641	258
713	642	257
714	642	256
715	643	255
716	643	254
717	644	253
718	645	252
719	645	251
720	646	250
721	646	249
722	647	248
723	648	247
724	648	246
725	649	245
726	650	244
727	651	243
728	651	242
729	652	241
730	652	240
731	653	239
732	653	238
733	654	237
734	655	236
735	655	235
736	656	234
737	656	233
738	657	232
739	658	231
740	658	230
741	659	229
742	660	228
743	660	227
744	661	226
745	662	225
746	662	224
747	663	223
748	664	222
749	665	221
750	665	220
751	666	219
752	666	218
753	667	217
754	668	216
755	669	215
756	669	214
757	670	214
758	671	213
759	672	212
760	672	211
761	673	210
762	674	209
763	674	208
764	675	207
765	676	206
766	677	205
767	677	204
768	678	203
769	679	202
770	680	201
771	680	201
772	681	200
773	682	199
774	682	198
775	683	197
776	684	196
777	684	195
778	685	194
779	686	193
780	686	192
781	687	191
782	688	190
783	688	189
784	689	188
785	690	188
786	691	187
787	692	186
788	692	185
789	693	184
790	694	183
791	695	182
792	695	181
793	696	180
794	697	179
795	697	178
796	698	177
797	699	177
798	699	176
799	700	175
800	701	174
801	701	173
802	702	172
803	703	171
804	704	170
805	705	169
806	705	168
807	706	167
808	707	166
809	707	166
810	708	165
811	709	164
812	709	163
813	710	162
814	711	161
815	711	160
816	712	159
817	713	158
818	713	157
819	714	156
820	715	155
821	715	154
822	716	154
823	717	153
824	718	152
825	718	151
826	719	150
827	720	149
828	721	148
829	721	147
830	722	146
831	723	146
832	724	145
833	724	144
834	725	143
835	726	142
836	726	141
837	727	140
838	728	139
839	729	138
840	730	138
841	730	137
842	731	136
843	732	135
844	732	134
845	733	133
846	734	132
847	734	131
848	735	130
849	736	129
850	736	128
851	737	128
852	737	127
853	738	126
854	738	125
855	739	124
856	740	123
857	740	122
858	741	121
859	741	120
860	742	119
861	743	118
862	743	118
863	744	117
864	745	116
865	746	115
866	746	114
867	747	113
868	748	112
869	748	111
870	749	110
871	749	110
872	750	109
873	750	108
874	751	107
875	752	106
876	752	105
877	753	104
878	754	103
879	754	102
880	755	102
881	755	101
882	756	100
883	757	99
884	757	98
885	758	97
886	759	96
887	759	95
888	760	95
889	761	94
890	762	93
891	763	92
892	763	91
893	764	90
894	765	89
895	765	88
896	766	87
897	767	87
898	767	86
899	768	85
900	768	84
901	769	83
902	770	82
903	770	81
904	771	80
905	772	80
906	772	79
907	773	78
908	774	77
909	775	76
910	776	75
911	776	74
912	777	74
913	778	73
914	778	72
915	779	71
916	779	70
917	780	69
918	781	68
919	781	67
920	782	67
921	783	66
922	783	65
923	784	64
924	785	63
925	786	62
926	786	61
927	787	61
928	788	60
929	789	59
930	789	58
931	790	57
932	791	56
933	791	55
934	792	55
935	793	54
936	793	53
937	794	52
938	795	51
939	795	50
940	796	49
941	797	49
942	797	48
943	798	47
944	799	46
945	799	45
946	800	44
947	801	43
948	802	43
949	803	42
950	803	41
951	804	40
952	804	39
953	805	38
954	806	37
955	806	37
956	807	36
957	807	35
958	808	34
959	809	33
960	809	32
961	810	32
962	810	31
963	811	30
964	812	29
965	812	28
966	813	27
967	814	26
968	815	26
969	815	25
970	816	24
971	817	23
972	817	22
973	818	21
974	819	21
975	819	20
976	820	19
977	821	18
978	821	17
979	822	16
980	822	15
981	823	15
982	824	14
983	824	13
984	825	12
985	826	11
986	827	10
987	827	10
988	828	9
989	829	8
990	830	7
991	830	6
992	831	5
993	831	5
994	832	4
995	833	3
996	833	2
997	834	1
998	834	0
999	835	0
